,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2715,FLMX,Franklin FTSE Mexico ETF,Financial,Exchange Traded Fund,USA,,,24.83,0.0115,60.0
2716,FLN,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,19.13,-0.0026,297.0
2720,FLOT,iShares Floating Rate Bond ETF,Financial,Exchange Traded Fund,USA,,,50.77,0.0002,397738.0
2722,FLQH,Franklin LibertyQ International Equity Hedged ETF,Financial,Exchange Traded Fund,USA,,,29.01,0.0016,262.0
2723,FLQL,Franklin LibertyQ U.S. Equity ETF,Financial,Exchange Traded Fund,USA,,,44.71,0.0034000000000000002,340413.0
2724,FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,Financial,Exchange Traded Fund,USA,,,45.72,0.0001,6519.0
2726,FLRN,SPDR Bloomberg Barclays Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,,,30.63,-0.0003,200046.0
2727,FLRU,Franklin FTSE Russia ETF,Financial,Exchange Traded Fund,USA,,,31.12,0.0005,4118.0
2729,FLSW,Franklin FTSE Switzerland ETF,Financial,Exchange Traded Fund,USA,,,35.05,0.009399999999999999,1444.0
2730,FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,21370000000.0,30.48,262.49,0.013500000000000002,765055.0
2731,FLTB,Fidelity Limited Term Bond ETF,Financial,Exchange Traded Fund,USA,,,52.41,0.0006,13474.0
2732,FLTR,VanEck Vectors Investment Grade Floating Rate ETF,Financial,Exchange Traded Fund,USA,,,25.37,-0.0004,97548.0
2734,FLV,American Century Focused Large Cap Value ETF,Financial,Exchange Traded Fund,USA,,,62.21,0.0005,785.0
2736,FLXN,"Flexion Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,287600000.0,,5.05,-0.049,723357.0
2739,FLYW,Flywire Corporation,Technology,Information Technology Services,USA,3890000000.0,,40.05,0.028999999999999998,222029.0
2740,FM,iShares MSCI Frontier and Select EM ETF,Financial,Exchange Traded Fund,USA,,,33.73,0.0021,52068.0
2741,FMAC,FirstMark Horizon Acquisition Corp.,Financial,Shell Companies,USA,924250000.0,,9.73,-0.001,75020.0
2742,FMAG,Fidelity Magellan ETF,Financial,Exchange Traded Fund,USA,,,23.37,0.0034000000000000002,11649.0
2743,FMAO,"Farmers & Merchants Bancorp, Inc.",Financial,Banks - Regional,USA,252900000.0,11.97,22.58,-0.0053,27486.0
2744,FMAR,FT Cboe Vest US Eq Buffer ETF - March,Financial,Exchange Traded Fund,USA,,,32.19,0.0005,1080.0
2745,FMAT,Fidelity MSCI Materials Index ETF,Financial,Exchange Traded Fund,USA,,,48.26,0.0006,41016.0
2746,FMAY,FT Cboe Vest US Eq Buffer ETF - May,Financial,Exchange Traded Fund,USA,,,36.96,0.0007000000000000001,4964.0
2747,FMB,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund,USA,,,57.48,0.0009,97190.0
2748,FMBH,"First Mid Bancshares, Inc.",Financial,Banks - Regional,USA,673620000.0,16.98,40.9,-0.0111,10120.0
2749,FMBI,"First Midwest Bancorp, Inc.",Financial,Banks - Regional,USA,2029999999.9999998,14.26,18.53,-0.0032,253733.0
2751,FMF,First Trust Managed Futures Strategy Fund,Financial,Exchange Traded Fund,USA,,,48.28,0.0042,4408.0
2752,FMHI,First Trust Municipal High Income ETF,Financial,Exchange Traded Fund,USA,,,56.66,0.0,28389.0
2753,FMIL,Fidelity New Millennium ETF,Financial,Exchange Traded Fund,USA,,,29.72,-0.0027,8946.0
2754,FMIVU,Forum Merger IV Corporation,Financial,Shell Companies,USA,,,9.92,0.0,0.0
2755,FMN,Federated Hermes Premier Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,181990000.0,20.97,15.83,0.0019,15423.0
2756,FMNB,Farmers National Banc Corp.,Financial,Banks - Regional,USA,440430000.0,8.58,15.86,-0.0038,31742.0
2757,FMO,Fiduciary/Claymore Energy Infrastructure Fund,Financial,Closed-End Fund - Equity,USA,79100000.0,,11.16,0.0,11376.0
2758,FMS,Fresenius Medical Care AG & Co. KGaA,Healthcare,Medical Care Facilities,Germany,23780000000.0,17.62,40.6,0.013999999999999999,418357.0
2759,FMTX,"Forma Therapeutics Holdings, Inc.",Healthcare,Biotechnology,USA,1080000000.0,,22.17,-0.0452,218757.0
2761,FMY,First Trust Mortgage Income Fund,Financial,Closed-End Fund - Debt,USA,58670000.0,54.39,13.92,-0.0018,4043.0
2762,FN,Fabrinet,Technology,Electronic Components,Cayman Islands,3330000000.0,25.41,90.68,-0.0128,97700.0
2763,FNB,F.N.B. Corporation,Financial,Banks - Regional,USA,3670000000.0,11.19,11.72,-0.011000000000000001,1962416.0
2764,FNCB,"FNCB Bancorp, Inc.",Financial,Banks - Regional,USA,158360000.0,7.92,7.95,0.0089,11916.0
2765,FNCH,"Finch Therapeutics Group, Inc.",Healthcare,Biotechnology,USA,632650000.0,,13.15,-0.060700000000000004,23448.0
2766,FNCL,Fidelity MSCI Financials Index ETF,Financial,Exchange Traded Fund,USA,,,54.94,-0.006500000000000001,110955.0
2768,FNDA,Schwab Fundamental U.S. Small Company Index ETF,Financial,Exchange Traded Fund,USA,,,53.49,-0.0054,165266.0
2769,FNDB,Schwab Fundamental U.S. Broad Market Index ETF,Financial,Exchange Traded Fund,USA,,,55.59,-0.0011,12176.0
2770,FNDC,Schwab Fundamental International Small Company Index ETF,Financial,Exchange Traded Fund,USA,,,39.76,0.0025,80373.0
2771,FNDE,Schwab Fundamental Emerging Markets Large Company Index ETF,Financial,Exchange Traded Fund,USA,,,31.81,0.0013,465943.0
2772,FNDF,Schwab Fundamental International Large Company Index ETF,Financial,Exchange Traded Fund,USA,,,33.8,0.0027,383113.0
2773,FNDX,Schwab Fundamental U.S. Large Company Index ETF,Financial,Exchange Traded Fund,USA,,,56.04,-0.0011,169054.0
2774,FNF,"Fidelity National Financial, Inc.",Financial,Insurance - Specialty,USA,14050000000.0,6.07,49.06,0.0045000000000000005,869602.0
2775,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,Financial,Exchange Traded Fund,USA,,,2.57,0.0118,2268280.0
2776,FNGO,MicroSectors FANG+ Index 2X Leveraged ETN,Financial,Exchange Traded Fund,USA,,,44.75,-0.005600000000000001,11360.0
2777,FNGS,MicroSectors FANG+ ETN,Financial,Exchange Traded Fund,USA,,,31.02,-0.0045000000000000005,22522.0
2778,FNGU,MicroSectors FANG+ Index 3X Leveraged ETN,Financial,Exchange Traded Fund,USA,,,35.23,-0.0096,838434.0
2779,FNGZ,MicroSectors FANG+ Index -2X Inverse Leveraged ETN,Financial,Exchange Traded Fund,USA,,,2.93,0.0085,410.0
2780,FNHC,FedNat Holding Company,Financial,Insurance - Property & Casualty,USA,51570000.0,,2.95,0.1753,292657.0
2781,FNI,First Trust Chindia ETF,Financial,Exchange Traded Fund,USA,,,53.37,-0.0127,10084.0
2782,FNK,First Trust Mid Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,45.94,-0.0017000000000000001,11120.0
2784,FNLC,"The First Bancorp, Inc.",Financial,Banks - Regional,USA,327970000.0,10.42,30.2,-0.0066,5400.0
2785,FNOV,FT Cboe Vest US Eq Buffer ETF - November,Financial,Exchange Traded Fund,USA,,,38.1,0.0006,4038.0
2787,FNWB,First Northwest Bancorp,Financial,Banks - Regional,USA,190910000.0,12.66,18.68,-0.012199999999999999,2900.0
2788,FNX,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,100.96,-0.0045000000000000005,22881.0
2789,FNY,First Trust Mid Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,73.48,-0.0058,20002.0
2790,FOA,Finance Of America Companies Inc.,Financial,Credit Services,USA,308020000.0,,5.33,0.0,632786.0
2791,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,USA,3630000000.0,346.6,49.91,-0.0016,184100.0
2793,FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,404540000.0,,14.84,0.002,68182.0
2794,FOLD,"Amicus Therapeutics, Inc.",Healthcare,Biotechnology,USA,2670000000.0,,10.48,-0.0141,1116374.0
2795,FONR,FONAR Corporation,Healthcare,Medical Devices,USA,114070000.0,12.56,16.95,0.0077,17726.0
2796,FOR,Forestar Group Inc.,Real Estate,Real Estate - Development,USA,1020000000.0,11.02,20.56,0.001,58503.0
2797,FORA,Forian Inc.,Healthcare,Health Information Services,USA,340140000.0,,10.37,-0.09269999999999999,87368.0
2799,FORE,Foresight Acquisition Corp.,Financial,Shell Companies,USA,387790000.0,,9.85,0.001,684.0
2800,FOREU,Foresight Acquisition Corp.,Financial,Shell Companies,USA,,,10.26,0.001,1912.0
2801,FORM,"FormFactor, Inc.",Technology,Semiconductors,USA,2690000000.0,34.94,34.97,-0.006500000000000001,285019.0
2803,FORTY,Formula Systems (1985) Ltd.,Technology,Information Technology Services,Israel,1410000000.0,30.29,92.65,0.0097,2861.0
2805,FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,USA,6600000000.0,,84.1,-0.0151,531470.0
2806,FOVL,iShares Focused Value Factor ETF,Financial,Exchange Traded Fund,USA,,,56.78,-0.0053,756.0
2810,FOXW,FoxWayne Enterprises Acquisition Corp.,Financial,Shell Companies,USA,57300000.0,,9.88,0.0040999999999999995,101.0
2811,FOXWU,FoxWayne Enterprises Acquisition Corp.,Financial,Shell Companies,USA,,,10.34,0.0073,151.0
2812,FPAC,Far Peak Acquisition Corporation,Financial,Shell Companies,USA,594600000.0,,9.91,0.0,58018.0
2814,FPE,First Trust Preferred Securities and Income ETF,Financial,Exchange Traded Fund,USA,,,20.67,0.0015,3405645.0
2815,FPEI,First Trust Institutional Preferred Securities and Income ETF,Financial,Exchange Traded Fund,USA,,,20.77,0.0,48625.0
2816,FPF,First Trust Intermediate Duration Preferred & Income Fund,Financial,Closed-End Fund - Debt,USA,1570000000.0,,25.87,0.0039000000000000003,75299.0
2817,FPH,"Five Point Holdings, LLC",Real Estate,Real Estate - Development,USA,541290000.0,139.32,8.22,-0.0108,22079.0
2818,FPI,Farmland Partners Inc.,Real Estate,REIT - Specialty,USA,355350000.0,,11.72,0.0051,135601.0
2819,FPL,First Trust New Opportunities MLP & Energy Fund,Financial,Asset Management,USA,144760000.0,,5.78,0.0017000000000000001,30436.0
2820,FPRO,Fidelity Real Estate Investment ETF,Financial,Exchange Traded Fund,USA,,,24.9,0.0062,7019.0
2821,FPX,First Trust US Equity Opportunities ETF,Financial,Exchange Traded Fund,USA,,,127.79,-0.002,23490.0
2822,FPXI,First Trust International Equity Opportunities ETF,Financial,Exchange Traded Fund,USA,,,67.59,-0.0001,89564.0
2823,FQAL,Fidelity Quality Factor ETF,Financial,Exchange Traded Fund,USA,,,51.94,0.0024,7250.0
2824,FR,"First Industrial Realty Trust, Inc.",Real Estate,REIT - Industrial,USA,7090000000.0,30.45,55.11,0.0066,467257.0
2825,FRA,"BlackRock Floating Rate Income Strategies Fund, Inc.",Financial,Closed-End Fund - Debt,USA,470350000.0,97.45,13.35,-0.003,86249.0
2826,FRAK,VanEck Vectors Unconventional Oil & Gas ETF,Financial,Exchange Traded Fund,USA,,,114.65,-0.0271,24.0
2827,FRBA,First Bank,Financial,Banks - Regional,USA,257029999.99999997,8.67,13.38,-0.0118,13789.0
2828,FRBK,"Republic First Bancorp, Inc.",Financial,Banks - Regional,USA,214330000.0,19.73,3.67,-0.0027,32505.0
2829,FRC,First Republic Bank,Financial,Banks - Regional,USA,34270000000.000004,28.61,198.85,-0.006500000000000001,307406.0
2831,FRDM,Alpha Architect Freedom 100 Emerging Markets ETF,Financial,Exchange Traded Fund,USA,,,33.79,0.0024,25014.0
2833,FREL,Fidelity MSCI Real Estate Index ETF,Financial,Exchange Traded Fund,USA,,,31.9,0.005699999999999999,140547.0
2834,FREQ,"Frequency Therapeutics, Inc.",Healthcare,Biotechnology,USA,284140000.0,,8.07,-0.032400000000000005,174134.0
2837,FRHC,Freedom Holding Corp.,Financial,Capital Markets,Kazakhstan,3760000000.0,26.52,64.54,-0.0009,468297.0
2838,FRI,First Trust S&P REIT Index Fund,Financial,Exchange Traded Fund,USA,,,29.39,0.0058,57697.0
2839,FRLG,Large Cap Growth Index-Linked ETN due 2028,Financial,Exchange Traded Fund,USA,,,323.02,0.0034000000000000002,209.0
2840,FRLN,Freeline Therapeutics Holdings plc,Healthcare,Biotechnology,United Kingdom,119020000.0,,3.32,-0.1679,1453626.0
2841,FRME,First Merchants Corporation,Financial,Banks - Regional,USA,2250000000.0,12.45,42.9,-0.0012,82235.0
2843,FROG,JFrog Ltd.,Technology,Software - Application,USA,4130000000.0,,38.29,-0.0067,735951.0
2844,FRONU,Frontier Acquisition Corp.,Financial,Shell Companies,USA,,,9.97,0.0025,6474.0
2845,FRPH,"FRP Holdings, Inc.",Real Estate,Real Estate Services,USA,565410000.0,15.98,60.15,0.0043,4548.0
2847,FRSGU,First Reserve Sustainable Growth Corp.,Financial,Shell Companies,USA,,,10.06,0.002,252102.0
2848,FRST,Primis Financial Corp.,Financial,Banks - Regional,USA,381230000.0,10.03,15.65,-0.0176,23866.0
2850,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,USA,9320000000.0,60.7,120.0,-0.0007000000000000001,413782.0
2852,FRWAU,PWP Forward Acquisition Corp. I,Financial,Shell Companies,USA,,,9.91,0.0,0.0
2853,FSBW,"FS Bancorp, Inc.",Financial,Banks - Regional,USA,294320000.0,7.82,35.46,-0.005600000000000001,8305.0
2854,FSD,First Trust High Income Long/Short Fund,Financial,Closed-End Fund - Debt,USA,531510000.0,,15.88,-0.0006,64942.0
2855,FSFG,"First Savings Financial Group, Inc.",Financial,Banks - Regional,USA,186600000.0,4.81,80.43,0.0259,9455.0
2857,FSII,FS Development Corp. II,Financial,Shell Companies,USA,253990000.0,,9.86,-0.004,1428.0
2858,FSK,FS KKR Capital Corp.,Financial,Asset Management,USA,6580000000.0,5.75,23.09,0.0109,1188776.0
2859,FSLR,"First Solar, Inc.",Technology,Solar,USA,10100000000.0,18.34,96.6,-0.0034999999999999996,1558710.0
2860,FSLY,"Fastly, Inc.",Technology,Software - Application,USA,4720000000.0,,42.11,-0.02,2600290.0
2862,FSMB,First Trust Short Duration Managed Municipal ETF,Financial,Exchange Traded Fund,USA,,,20.96,0.0002,22822.0
2863,FSMD,Fidelity Small-Mid Multifactor ETF,Financial,Exchange Traded Fund,USA,,,34.26,-0.0036,2785.0
2864,FSMO,Fidelity Small-Mid Cap Opportunities ETF,Financial,Exchange Traded Fund,USA,,,23.39,-0.0027,4446.0
2865,FSP,Franklin Street Properties Corp.,Real Estate,REIT - Office,USA,510350000.0,11.49,4.86,-0.0021,141356.0
